triadag20_7.txt 1_4x4.txt True 0.08947368421052632 0.18 2451.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_7.txt 1_4x4.txt True 0.08947368421052632 0.19 2451.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_7.txt 1_4x4.txt True 0.08947368421052632 0.2 2451.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_7.txt 1_4x4.txt True 0.08947368421052632 0.25 2451.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_7.txt 1_4x4.txt True 0.08947368421052632 0.3 2451.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_7.txt 1_4x4.txt True 0.08947368421052632 0.35 2451.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_7.txt 1_4x4.txt True 0.08947368421052632 0.4 2451.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 1, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_7.txt 1_4x4.txt True 0.3394736842105263 0.45 695.0 [1, 1, 7, 6, 1, 7, 6, 3, 6, 1, 3, 7, 3, 1, 7, 3, 4, 4, 1, 7, 1, 7, 6, 1, 7, 1, 3, 6, 1, 3, 7, 3, 1, 7, 1, 4, 4, 1, 7, 7, 6, 1, 7, 1, 3, 6, 1, 3, 7, 3, 1, 7, 1, 4, 4, 1, 7, 7, 5, 7, 5, 7, 6, 7, 7, 7, 5, 7, 7, 5, 5, 5, 7, 7, 5, 7, 5, 7, 6, 7, 7, 7, 5, 7, 7, 5, 5, 5, 7, 7, 3, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3, 3, 1, 7, 1, 1, 1, 1, 3, 3, 1, 3, 3, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
triadag20_7.txt 1_4x4.txt True 0.34210526315789475 0.5 648.0 [1, 1, 1, 1, 1, 3, 3, 1, 0, 7, 1, 1, 7, 1, 1, 3, 2, 5, 1, 7, 1, 1, 1, 1, 3, 3, 1, 0, 7, 1, 1, 7, 1, 1, 3, 2, 5, 1, 7, 7, 1, 1, 3, 3, 1, 0, 7, 1, 1, 7, 1, 1, 3, 2, 5, 1, 7, 7, 3, 7, 3, 7, 0, 7, 7, 7, 1, 7, 7, 1, 1, 5, 7, 1, 3, 7, 3, 7, 0, 7, 7, 7, 1, 7, 7, 1, 1, 3, 7, 1, 5, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 5, 3, 3, 5, 4, 5, 4, 5, 5, 5, 5, 3, 5, 5, 3, 3, 5, 4, 5, 4, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 7, 3, 6, 3, 3, 3, 6, 3, 6, 1, 3, 6, 3, 3, 3, 6, 3, 6, 1, 6, 1, 1, 1, 7, 7, 1, 7, 1, 1, 1, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_7.txt 1_4x4.txt True 0.4026315789473684 0.55 648.25 [7, 7, 7, 3, 4, 7, 7, 6, 6, 5, 7, 4, 7, 7, 5, 5, 7, 3, 5, 7, 7, 7, 3, 4, 7, 7, 6, 6, 5, 7, 4, 7, 7, 5, 5, 7, 3, 5, 7, 5, 3, 4, 7, 7, 6, 6, 5, 7, 4, 7, 7, 5, 5, 7, 3, 5, 7, 5, 1, 7, 1, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 7, 1, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 7, 3, 1, 1, 5, 7, 7, 7, 5, 7, 5, 5, 4, 5, 7, 7, 3, 3, 3, 0, 1, 1, 0, 3, 1, 1, 1, 6, 3, 1, 3, 3, 0, 1, 1, 0, 3, 1, 1, 1, 6, 3, 1, 3, 0, 3, 1, 3, 3, 1, 1, 3, 1, 0, 1, 1, 3, 1, 3, 3, 1, 1, 3, 1, 0, 1, 1, 2, 1, 3, 3, 1, 1, 3, 1, 2, 3, 1, 3, 3, 1, 1, 3, 1, 2, 3, 3, 3, 3, 2, 3, 2, 3, 5, 3, 3, 2, 3, 2, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 5, 5, 3, 3, 3, 3, 3, 3] 
triadag20_7.txt 1_4x4.txt True 0.41578947368421054 0.6 617.25 [5, 5, 7, 1, 3, 1, 5, 5, 3, 3, 0, 1, 7, 0, 1, 1, 3, 1, 1, 2, 5, 7, 1, 3, 1, 5, 5, 3, 3, 0, 1, 7, 0, 5, 1, 3, 1, 1, 2, 5, 1, 3, 1, 5, 5, 3, 3, 0, 1, 7, 0, 5, 1, 3, 1, 1, 2, 5, 3, 1, 7, 5, 3, 3, 0, 5, 3, 0, 0, 1, 3, 1, 5, 2, 7, 1, 7, 5, 3, 3, 0, 5, 3, 0, 0, 1, 3, 1, 5, 2, 7, 7, 7, 3, 3, 3, 3, 3, 7, 7, 1, 3, 1, 7, 2, 7, 7, 1, 7, 6, 7, 1, 7, 7, 7, 1, 7, 1, 7, 3, 1, 7, 6, 7, 1, 7, 7, 7, 1, 7, 1, 7, 3, 7, 6, 7, 3, 3, 3, 6, 3, 7, 6, 7, 5, 3, 7, 3, 3, 3, 6, 3, 5, 6, 7, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 1, 1, 1, 5, 5, 4, 1, 1, 1, 5, 5, 4, 1, 4, 1, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4] 
triadag20_7.txt 1_4x4.txt True 0.4 0.65 622.75 [7, 7, 1, 1, 0, 1, 1, 1, 1, 0, 7, 1, 1, 1, 0, 1, 7, 0, 1, 0, 7, 1, 1, 0, 1, 1, 1, 1, 0, 7, 1, 1, 1, 7, 1, 7, 7, 1, 0, 3, 1, 0, 1, 1, 1, 1, 0, 7, 1, 1, 1, 7, 1, 7, 7, 1, 1, 3, 3, 1, 3, 3, 3, 3, 2, 1, 2, 3, 3, 2, 3, 3, 3, 3, 7, 1, 3, 3, 3, 3, 2, 1, 2, 3, 3, 2, 3, 3, 3, 3, 3, 7, 7, 3, 7, 2, 7, 7, 7, 3, 3, 3, 3, 3, 2, 5, 5, 3, 5, 5, 5, 4, 3, 4, 5, 4, 5, 3, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 1, 3, 1, 3, 3, 1, 1, 6, 6, 1, 3, 1, 3, 3, 1, 1, 6, 6, 1, 7, 3, 6, 7, 3, 7, 6, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_7.txt 1_4x4.txt True 0.5263157894736842 0.7 598.75 [7, 2, 1, 3, 1, 3, 7, 5, 2, 3, 3, 3, 3, 2, 7, 1, 3, 3, 2, 3, 7, 1, 3, 1, 3, 7, 5, 2, 3, 3, 3, 3, 2, 7, 1, 3, 3, 2, 3, 1, 3, 1, 3, 7, 5, 2, 3, 1, 3, 3, 2, 7, 1, 3, 3, 2, 3, 7, 1, 1, 1, 7, 1, 0, 1, 1, 1, 0, 5, 5, 5, 1, 1, 3, 5, 1, 1, 7, 1, 0, 0, 7, 1, 0, 5, 5, 5, 0, 1, 3, 5, 1, 0, 1, 5, 0, 5, 1, 5, 0, 1, 0, 0, 5, 3, 5, 6, 3, 6, 7, 7, 7, 6, 1, 7, 3, 5, 7, 7, 5, 3, 6, 7, 7, 7, 6, 1, 7, 3, 5, 7, 7, 5, 5, 7, 5, 7, 5, 3, 7, 5, 6, 7, 7, 7, 7, 5, 7, 5, 3, 7, 5, 6, 7, 7, 7, 5, 5, 5, 1, 7, 7, 1, 7, 5, 5, 5, 5, 1, 7, 7, 1, 7, 5, 5, 5, 7, 5, 5, 1, 5, 5, 3, 7, 5, 5, 1, 5, 5, 3, 3, 4, 1, 4, 1, 3, 4, 1, 4, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4] 
triadag20_7.txt 1_4x4.txt True 0.4263157894736842 0.75 595.0 [7, 7, 1, 6, 5, 7, 7, 7, 1, 7, 7, 7, 7, 4, 3, 7, 6, 1, 1, 6, 7, 1, 6, 5, 7, 7, 7, 1, 7, 7, 7, 7, 4, 3, 7, 6, 1, 1, 6, 5, 4, 5, 7, 7, 7, 6, 7, 7, 7, 7, 4, 3, 7, 6, 1, 1, 6, 3, 5, 7, 5, 5, 5, 5, 4, 1, 1, 4, 3, 7, 5, 5, 5, 5, 5, 7, 5, 3, 5, 5, 4, 1, 1, 4, 3, 7, 4, 5, 5, 5, 7, 1, 3, 5, 5, 4, 3, 5, 5, 1, 7, 4, 5, 5, 3, 7, 1, 7, 5, 1, 7, 1, 3, 1, 5, 1, 7, 1, 1, 1, 7, 5, 1, 7, 1, 3, 1, 5, 1, 7, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 3, 5, 1, 0, 0, 1, 1, 1, 1, 0, 0, 3, 5, 2, 2, 3, 2, 1, 5, 5, 2, 5, 3, 2, 3, 2, 1, 5, 5, 2, 5, 3, 3, 5, 3, 5, 3, 2, 3, 3, 5, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
triadag20_7.txt 1_4x4.txt True 0.45789473684210524 0.8 597.75 [7, 2, 3, 2, 3, 3, 5, 3, 2, 2, 5, 2, 3, 0, 3, 3, 3, 1, 1, 1, 7, 3, 2, 3, 3, 5, 3, 3, 2, 5, 2, 2, 5, 7, 3, 3, 7, 1, 1, 3, 2, 3, 3, 5, 3, 1, 2, 5, 1, 0, 5, 7, 3, 3, 7, 1, 1, 3, 1, 5, 0, 3, 1, 0, 0, 3, 0, 0, 3, 1, 1, 1, 1, 3, 7, 5, 0, 3, 1, 0, 0, 3, 0, 0, 3, 1, 1, 1, 1, 3, 1, 7, 3, 1, 7, 1, 1, 1, 3, 7, 1, 1, 4, 7, 1, 5, 5, 5, 3, 1, 5, 1, 1, 4, 1, 4, 4, 1, 4, 5, 5, 4, 5, 5, 1, 5, 4, 1, 4, 4, 1, 3, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 3, 6, 7, 7, 7, 5, 3, 7, 7, 7, 5, 6, 7, 7, 6, 6, 7, 7, 6, 6, 6, 6, 6, 6] 
triadag20_7.txt 1_4x4.txt True 0.5815789473684211 0.85 598.5 [5, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 1, 0, 5, 2, 3, 3, 2, 1, 5, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 1, 0, 5, 5, 3, 2, 2, 1, 7, 3, 2, 3, 3, 3, 3, 3, 5, 1, 1, 0, 5, 5, 3, 5, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 7, 1, 0, 2, 1, 5, 1, 1, 0, 7, 0, 3, 1, 5, 1, 0, 7, 1, 0, 2, 1, 5, 0, 1, 0, 3, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 5, 7, 6, 5, 6, 7, 6, 5, 7, 1, 6, 6, 1, 7, 7, 5, 6, 3, 7, 1, 5, 7, 6, 6, 6, 1, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 4, 5, 4, 7, 4, 4, 4, 3, 3, 5, 5, 7, 7, 4, 4, 4, 3, 4, 7, 7, 3, 4, 4, 3, 3, 4, 7, 5, 7, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag20_7.txt 1_4x4.txt True 0.6 0.9 590.25 [7, 6, 5, 1, 7, 7, 7, 6, 6, 6, 7, 6, 7, 7, 6, 7, 6, 7, 7, 7, 3, 5, 1, 7, 7, 7, 5, 1, 6, 7, 5, 7, 7, 3, 7, 6, 7, 7, 7, 5, 5, 7, 5, 7, 6, 5, 3, 6, 3, 5, 7, 3, 7, 5, 7, 3, 7, 1, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 7, 5, 4, 4, 1, 4, 4, 1, 7, 5, 4, 5, 4, 4, 7, 7, 5, 4, 4, 3, 4, 4, 1, 7, 5, 1, 5, 4, 1, 5, 2, 3, 3, 3, 1, 3, 7, 3, 1, 7, 3, 3, 3, 7, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 5, 3, 2, 2, 7, 2, 3, 2, 5, 2, 7, 5, 3, 2, 1, 1, 5, 2, 2, 2, 3, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3, 1, 7, 1, 0, 1, 7, 1, 3, 0, 0, 1, 0, 3, 3, 1, 0, 1, 0, 3, 3, 1, 0, 0, 0, 1, 1, 0, 1, 7, 1, 1, 7, 1, 1, 1] 
triadag20_7.txt 1_4x4.txt True 0.6 0.95 590.25 [7, 6, 5, 1, 7, 7, 7, 6, 6, 6, 7, 6, 7, 7, 6, 7, 6, 7, 7, 7, 3, 5, 1, 7, 7, 7, 5, 1, 6, 7, 5, 7, 7, 3, 7, 6, 7, 7, 7, 5, 5, 7, 5, 7, 6, 5, 3, 6, 3, 5, 7, 3, 7, 5, 7, 3, 7, 1, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 7, 5, 4, 4, 1, 4, 4, 1, 7, 5, 4, 5, 4, 4, 7, 7, 5, 4, 4, 3, 4, 4, 1, 7, 5, 1, 5, 4, 1, 5, 2, 3, 3, 3, 1, 3, 7, 3, 1, 7, 3, 3, 3, 7, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 5, 3, 2, 2, 7, 2, 3, 2, 5, 2, 7, 5, 3, 2, 1, 1, 5, 2, 2, 2, 3, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3, 1, 7, 1, 0, 1, 7, 1, 3, 0, 0, 1, 0, 3, 3, 1, 0, 1, 0, 3, 3, 1, 0, 0, 0, 1, 1, 0, 1, 7, 1, 1, 7, 1, 1, 1] 
triadag20_7.txt 1_4x4.txt True 0.6 1 590.25 [7, 6, 5, 1, 7, 7, 7, 6, 6, 6, 7, 6, 7, 7, 6, 7, 6, 7, 7, 7, 3, 5, 1, 7, 7, 7, 5, 1, 6, 7, 5, 7, 7, 3, 7, 6, 7, 7, 7, 5, 5, 7, 5, 7, 6, 5, 3, 6, 3, 5, 7, 3, 7, 5, 7, 3, 7, 1, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 7, 5, 4, 4, 1, 4, 4, 1, 7, 5, 4, 5, 4, 4, 7, 7, 5, 4, 4, 3, 4, 4, 1, 7, 5, 1, 5, 4, 1, 5, 2, 3, 3, 3, 1, 3, 7, 3, 1, 7, 3, 3, 3, 7, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 5, 3, 2, 2, 7, 2, 3, 2, 5, 2, 7, 5, 3, 2, 1, 1, 5, 2, 2, 2, 3, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3, 1, 7, 1, 0, 1, 7, 1, 3, 0, 0, 1, 0, 3, 3, 1, 0, 1, 0, 3, 3, 1, 0, 0, 0, 1, 1, 0, 1, 7, 1, 1, 7, 1, 1, 1] 
triadag20_7.txt 1_4x2.txt True 0.015789473684210527 0.07 2765.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
